date,status,price,buy_conf,sell_conf,buy_action,current_return,sell_action
2023-06-14,holding,17238.14,,0.9999938011169434,,1.2118950065100687,HOLD
2023-06-15,holding,17334.98,,0.9999938011169434,,1.2187031605470144,HOLD
2023-06-16,holding,17288.91,,0.9999938011169434,,1.2154642958580213,HOLD
2023-06-19,holding,17274.56,,0.9999938011169434,,1.2144554461014108,HOLD
2023-06-20,holding,17184.91,,0.9999938011169434,,1.2081527714895544,HOLD
2023-06-21,holding,17202.4,,0.9999938011169434,,1.2093823730395976,HOLD
2023-06-26,holding,17059.24,,0.9999938011169434,,1.1993177785339268,HOLD
2023-06-27,holding,16887.9,,0.9999938011169434,,1.1872720421368774,HOLD
2023-06-28,holding,16935.63,,0.9999938011169434,,1.1906276100032902,HOLD
2023-06-29,holding,16942.3,,0.9999938011169434,,1.191096531806537,HOLD
2023-06-30,holding,16915.54,,0.9999938011169434,,1.1892152203440354,HOLD
2023-07-03,holding,17084.2,,0.9999938011169434,,1.2010725443823589,HOLD
2023-07-04,holding,17140.77,,0.9999938011169434,,1.2050495918200914,HOLD
2023-07-05,holding,17056.43,,0.9999938011169434,,1.1991202267697403,HOLD
2023-07-06,holding,16762.17,,0.9999938011169434,,1.1784328309941141,HOLD
2023-07-07,holding,16664.21,,0.9999938011169434,,1.1715459374639696,HOLD
2023-07-10,holding,16652.8,,0.9999938011169434,,1.170743778877006,HOLD
2023-07-11,holding,16898.91,,0.9999938011169434,,1.1880460794762697,HOLD
2023-07-12,holding,16962.03,,0.9999938011169434,,1.1924836123429778,HOLD
2023-07-13,idle,17061.4,1.0,,BUY,,
2023-07-14,holding,17283.71,,0.9999938011169434,,1.0130299975383028,HOLD
2023-07-17,holding,17334.29,,0.9999938011169434,,1.0159945842662383,HOLD
2023-07-18,holding,17227.91,,0.9999938011169434,,1.0097594570199397,HOLD
2023-07-19,holding,17116.44,,0.9999938011169434,,1.0032259955220555,HOLD
2023-07-20,holding,17164.89,,0.9999938011169434,,1.0060657390366556,HOLD
2023-07-21,holding,17030.7,,0.9999938011169434,,0.9982006165965278,HOLD
2023-07-24,holding,17033.61,,0.9999938011169434,,0.9983711770429156,HOLD
2023-07-25,holding,17198.89,,0.9999938011169434,,1.0080585415030419,HOLD
2023-07-26,holding,17162.55,,0.9999938011169434,,1.0059285873374986,HOLD
2023-07-27,holding,17241.82,,0.9999938011169434,,1.0105747476760405,HOLD
2023-07-28,holding,17292.93,,0.9999938011169434,,1.013570398677717,HOLD
2023-07-31,holding,17145.43,,0.9999938011169434,,1.0049251526838359,HOLD
2023-08-01,holding,17212.87,,0.9999938011169434,,1.00887793498775,HOLD
2023-08-02,holding,16893.73,,0.9999938011169434,,0.990172553248854,HOLD
2023-08-04,holding,16843.68,,0.9999938011169434,,0.9872390307946592,HOLD
2023-08-07,holding,16996.0,,0.9999938011169434,,0.996166785844069,HOLD
2023-08-08,holding,16877.07,,0.9999938011169434,,0.9891960800403249,HOLD
2023-08-09,holding,16870.94,,0.9999938011169434,,0.9888367894780028,HOLD
2023-08-10,holding,16634.7,,0.9999938011169434,,0.9749903290468542,HOLD
2023-08-11,holding,16601.25,,0.9999938011169434,,0.9730297630909538,HOLD
2023-08-14,holding,16393.66,,0.9999938011169434,,0.9608625317969216,HOLD
2023-08-15,holding,16454.8,,0.9999938011169434,,0.9644460595261818,HOLD
2023-08-16,holding,16446.78,,0.9999938011169434,,0.9639759925914636,HOLD
2023-08-17,holding,16516.66,,0.9999938011169434,,0.9680717877782596,HOLD
2023-08-18,holding,16381.31,,0.9999938011169434,,0.9601386756069255,HOLD
2023-08-21,holding,16381.49,,0.9999938011169434,,0.9601492257376298,HOLD
2023-08-22,holding,16437.61,,0.9999938011169434,,0.9634385220439119,HOLD
2023-08-23,holding,16576.9,,0.9999938011169434,,0.9716025648539979,HOLD
2023-08-24,holding,16770.87,,0.9999938011169434,,0.9829715029247306,HOLD
2023-08-25,holding,16481.58,,0.9999938011169434,,0.9660156845276472,HOLD
2023-08-28,holding,16509.26,,0.9999938011169434,,0.9676380601826343,HOLD
2023-08-29,holding,16623.65,,0.9999938011169434,,0.9743426682452788,HOLD
2023-08-30,holding,16719.82,,0.9999938011169434,,0.979979368633289,HOLD
2023-08-31,holding,16634.51,,0.9999938011169434,,0.9749791927977772,HOLD
2023-09-01,holding,16644.94,,0.9999938011169434,,0.9755905142602599,HOLD
2023-09-04,holding,16789.69,,0.9999938011169434,,0.9840745777017125,HOLD
2023-09-05,holding,16791.61,,0.9999938011169434,,0.9841871124292262,HOLD
2023-09-06,holding,16738.16,,0.9999938011169434,,0.9810543097283927,HOLD
